STATE_ABBREV,COUNTY_NAME,Dem_Percent,Rep_Percent,Dem_VoteCnt,Rep_VoteCnt
AL,Autauga,0.263,0.724,7439,20484
AL,Baldwin,0.204,0.784,24934,95798
AL,Barbour,0.422,0.569,4158,5606
AL,Bibb,0.175,0.818,1619,7572
AL,Blount,0.091,0.9,2576,25354
AL,Bullock,0.726,0.268,2983,1101
AL,Butler,0.383,0.61,3251,5172
AL,Calhoun,0.271,0.718,13194,34912
AL,Chambers,0.379,0.612,5405,8711
AL,Cherokee,0.119,0.873,1553,11358
AL,Chilton,0.136,0.856,2698,16920
AL,Choctaw,0.378,0.616,2515,4103
AL,Clarke,0.412,0.582,4927,6965
AL,Clay,0.147,0.847,993,5734
AL,Cleburne,0.079,0.913,605,6988
AL,Coffee,0.206,0.784,4601,17495
AL,Colbert,0.263,0.726,7137,19714
AL,Conecuh,0.426,0.566,2580,3423
AL,Coosa,0.281,0.713,1478,3758
AL,Covington,0.135,0.859,2314,14677
AL,Crenshaw,0.225,0.771,1457,5000
AL,Cullman,0.094,0.897,4039,38704
AL,Dale,0.234,0.756,4484,14476
AL,Dallas,0.658,0.334,10236,5190
AL,DeKalb,0.127,0.864,3758,25633
AL,Elmore,0.235,0.754,9774,31374
AL,Escambia,0.265,0.728,3964,10884
AL,Etowah,0.217,0.773,10027,35653
AL,Fayette,0.136,0.855,1142,7158
AL,Franklin,0.13,0.861,1568,10417
AL,Geneva,0.112,0.881,1391,10929
AL,Greene,0.776,0.219,3133,885
AL,Hale,0.53,0.461,3868,3369
AL,Henry,0.243,0.75,2263,6989
AL,Houston,0.256,0.732,11352,32469
AL,Jackson,0.139,0.852,3276,20073
AL,Jefferson,0.543,0.439,162112,131123
AL,Lamar,0.117,0.876,806,6033
AL,Lauderdale,0.237,0.75,10326,32708
AL,Lawrence,0.185,0.808,2983,13024
AL,Lee,0.353,0.629,25798,46020
AL,Limestone,0.273,0.71,14581,37887
AL,Lowndes,0.684,0.311,3867,1758
AL,Macon,0.776,0.215,6084,1682
AL,Madison,0.444,0.534,87824,105430
AL,Marengo,0.478,0.516,4631,4995
AL,Marion,0.088,0.904,1197,12245
AL,Marshall,0.137,0.853,5553,34434
AL,Mobile,0.411,0.575,72055,100759
AL,Monroe,0.381,0.612,3740,6007
AL,Montgomery,0.645,0.339,57946,30477
AL,Morgan,0.231,0.755,12392,40449
AL,Perry,0.711,0.284,3174,1269
AL,Pickens,0.38,0.613,3388,5465
AL,Pike,0.37,0.621,4899,8224
AL,Randolph,0.173,0.821,1920,9102
AL,Russell,0.503,0.486,10422,10078
AL,Shelby,0.288,0.694,33087,79666
AL,St. Clair,0.175,0.816,7640,35501
AL,Sumter,0.702,0.29,3725,1542
AL,Talladega,0.328,0.665,10898,22100
AL,Tallapoosa,0.248,0.743,4975,14884
AL,Tuscaloosa,0.392,0.595,33399,50724
AL,Walker,0.138,0.855,4102,25464
AL,Washington,0.221,0.774,1863,6534
AL,Wilcox,0.655,0.341,3449,1793
AL,Winston,0.079,0.914,884,10191
AK,Election District 1,0.392,0.566,3367,4861
AK,Election District 2,0.478,0.474,4571,4534
AK,Election District 3,0.552,0.405,6130,4496
AK,Election District 4,0.665,0.29,6161,2691
AK,Election District 5,0.415,0.543,3328,4351
AK,Election District 6,0.398,0.559,4773,6705
AK,Election District 7,0.262,0.705,2513,6777
AK,Election District 8,0.238,0.736,2576,7950
AK,Election District 9,0.494,0.472,5849,5581
AK,Election District 10,0.464,0.497,4070,4357
AK,Election District 11,0.471,0.494,4633,4864
AK,Election District 12,0.49,0.477,4169,4059
AK,Election District 13,0.486,0.474,3682,3589
AK,Election District 14,0.585,0.373,4346,2768
AK,Election District 15,0.47,0.494,4364,4594
AK,Election District 16,0.553,0.406,5344,3929
AK,Election District 17,0.647,0.312,4990,2407
AK,Election District 18,0.4,0.558,1928,2686
AK,Election District 19,0.562,0.392,2825,1971
AK,Election District 20,0.54,0.418,3924,3041
AK,Election District 21,0.521,0.441,4711,3984
AK,Election District 22,0.487,0.475,2660,2594
AK,Election District 23,0.385,0.571,4116,6101
AK,Election District 24,0.319,0.641,3234,6482
AK,Election District 25,0.303,0.659,3172,6891
AK,Election District 26,0.213,0.756,2013,7143
AK,Election District 27,0.204,0.766,1807,6785
AK,Election District 28,0.238,0.723,2213,6713
